,Stand (cm t.o.v. NAP)
2009-06-12,11.27
2009-06-13,11.23
2009-06-14,11.21
2009-06-15,11.23
2009-06-16,11.18
2009-06-17,11.22
2009-06-18,11.24
2009-06-19,11.22
2009-06-20,11.200000000000001
2009-06-21,11.24
2009-06-22,11.200000000000001
2009-06-23,11.200000000000001
2009-06-24,11.19
2009-06-25,11.200000000000001
2009-06-26,11.19
2009-06-27,11.19
2009-06-28,11.200000000000001
2009-06-29,11.21
2009-06-30,11.19
2009-07-01,11.19
2009-07-02,11.18
2009-07-03,11.17
2009-07-04,11.200000000000001
2009-07-05,11.17
2009-07-06,11.22
2009-07-07,11.22
2009-07-08,11.23
2009-07-09,11.23
2009-07-10,11.21
2009-07-11,11.19
2009-07-12,11.23
2009-07-13,11.22
2009-07-14,11.19
2009-07-15,11.200000000000001
2009-07-16,11.18
2009-07-17,11.200000000000001
2009-07-18,11.19
2009-07-19,11.19
2009-07-20,11.200000000000001
2009-07-21,11.200000000000001
2009-07-22,11.200000000000001
2009-07-23,11.23
2009-07-24,11.22
2009-07-25,11.23
2009-07-26,11.21
2009-07-27,11.200000000000001
2009-07-28,11.19
2009-07-29,11.19
2009-07-30,11.18
2009-07-31,11.17
2009-08-01,11.200000000000001
2009-08-02,11.19
2009-08-03,11.18
2009-08-04,11.18
2009-08-05,11.16
2009-08-06,11.16
2009-08-07,11.19
2009-08-08,11.16
2009-08-09,11.15
2009-08-10,11.18
2009-08-11,11.17
2009-08-12,11.15
2009-08-13,11.18
2009-08-14,11.18
2009-08-15,11.16
2009-08-16,11.16
2009-08-17,11.17
2009-08-18,11.18
2009-08-19,11.15
2009-08-20,11.18
2009-08-21,11.17
2009-08-22,11.14
2009-08-23,11.14
2009-08-24,11.15
2009-08-25,11.16
2009-08-26,11.15
2009-08-27,11.15
2009-08-28,11.16
2009-08-29,11.18
2009-08-30,11.19
2009-08-31,11.19
2009-09-01,11.18
2009-09-02,11.19
2009-09-03,11.200000000000001
2009-09-04,11.18
2009-09-05,11.16
2009-09-06,11.17
2009-09-07,11.19
2009-09-08,11.16
2009-09-09,11.17
2009-09-10,11.16
2009-09-11,11.15
2009-09-12,11.16
2009-09-13,11.16
2009-09-14,11.14
2009-09-15,11.17
2009-09-16,11.13
2009-09-17,11.15
2009-09-18,11.15
2009-09-19,11.15
2009-09-20,11.13
2009-09-21,11.16
2009-09-22,11.16
2009-09-23,11.18
2009-09-24,11.16
2009-09-25,11.15
2009-09-26,11.15
2009-09-27,11.15
2009-09-28,11.16
2009-09-29,11.14
2009-09-30,11.15
2009-10-01,11.15
2009-10-02,11.14
2009-10-03,11.15
2009-10-04,11.14
2009-10-05,11.16
2009-10-06,11.16
2009-10-07,11.16
2009-10-08,11.21
2009-10-09,11.17
2009-10-10,11.18
2009-10-11,11.17
2009-10-12,11.19
2009-10-13,11.17
2009-10-14,11.17
2009-10-15,11.17
2009-10-16,11.17
2009-10-17,11.16
2009-10-18,11.15
2009-10-19,11.18
2009-10-20,11.15
2009-10-21,11.13
2009-10-22,11.16
2009-10-23,11.15
2009-10-24,11.16
2009-10-25,11.14
2009-10-26,11.18
2009-10-27,11.15
2009-10-28,11.17
2009-10-29,11.13
2009-10-30,11.15
2009-10-31,11.15
2009-11-01,11.15
2009-11-02,11.17
2009-11-03,11.16
2009-11-04,11.17
2009-11-05,11.23
2009-11-06,11.21
2009-11-07,11.19
2009-11-08,11.18
2009-11-09,11.21
2009-11-10,11.21
2009-11-11,11.19
2009-11-12,11.18
2009-11-13,11.16
2009-11-14,11.17
2009-11-15,11.200000000000001
2009-11-16,11.22
2009-11-17,11.19
2009-11-18,11.200000000000001
2009-11-19,11.19
2009-11-20,11.18
2009-11-21,11.17
2009-11-22,11.18
2009-11-23,11.21
2009-11-24,11.28
2009-11-25,11.33
2009-11-26,11.35
2009-11-27,11.39
2009-11-28,11.39
